Participant,Surface,Sled,Event
1,T,29,89
2,T,27.1,84
3,T,33.1,99
4,T,31.2,103
5,T,33.2,106
6,T,27.4,93
7,T,27.2,90
8,T,27.2,90
9,T,36.7,101
10,T,31,107
11,T,30.9,102
12,T,34.2,108
13,T,36.1,108
14,T,37.6,116
15,T,29.2,107
16,T,31.6,103
17,T,28.75,90
18,T,24.6,83
19,T,25.8,83
20,T,28.2,117
21,T,39.7,118
22,T,38.3,111
23,T,28.1,92
24,T,40,118
25,T,29.8,94
1,G,30.5,90
2,G,25.5,87
3,G,39.2,108
4,G,33.7,105
5,G,40.1,120
6,G,28.7,92
7,G,28.2,92
8,G,35.1,104
9,G,39.1,109
10,G,36.5,116
11,G,38.6,114
12,G,41.6,114
13,G,47.6,124
14,G,45.6,121
15,G,39.8,116
16,G,38.8,125
17,G,32.5,95
18,G,26.4,88
19,G,30.1,91
20,G,49.8,126
21,G,46.4,128
22,G,38.8,106
23,G,31.3,98
24,G,46.6,122
25,G,33.5,98
1,S ,34.4,92
2,S ,29.2,88
3,S,36.6,102
4,S,40.2,114
5,S ,39.5,116
6,S ,32.2,93
7,S,32.3,98
8,S,32.3,98
9,S ,41.3,106
10,S ,33.8,105
11,S,37.9,112
12,S,47,127
13,S ,53.3,130
14,S ,49.6,126
15,S,43.3,120
16,S,36.1,116
17,S ,33.4,93
18,S ,30.5,93
19,S,34.7,96
20,S,48.4,123
21,S ,53.4,129
22,S ,45.8,114
23,S,35,101
24,S,57.8,131
25,S ,37.9,100
