Vintage,Age,SummerTemp,HarvestRain,WinterRain,PriceIndex,LogPriceIndex
1952,31,17.1167,0.16,0.6,0.368365363,-0.998679999
1953,30,16.7333,0.08,0.69,0.634828751,-0.4544
1955,28,17.15,0.13,0.502,0.445766503,-0.80796
1957,26,16.1333,0.11,0.42,0.221073512,-1.509259999
1958,25,16.4167,0.187,0.582,0.179684993,-1.71655
1959,24,17.4833,0.187,0.485,0.658362228,-0.418000001
1960,23,16.4167,0.29,0.763,0.138773801,-1.974910002
1961,22,17.3333,0.038,0.83,1,0
1962,21,16.3,0.052,0.697,0.330972496,-1.105720001
1963,20,15.7167,0.155,0.608,0.168472963,-1.780979999
1964,19,17.2667,0.096,0.402,0.305944979,-1.18435
1965,18,15.3667,0.267,0.602,0.106252175,-2.241940001
1966,17,16.5333,0.086,0.819,0.472635878,-0.749430001
1967,16,16.2333,0.118,0.714,0.191306199,-1.653879998
1968,15,16.2,0.292,0.61,0.105380254,-2.250180004
1969,14,16.55,0.244,0.575,0.116736035,-2.147840004
1970,13,16.6667,0.089,0.622,0.404363926,-0.90544
1971,12,16.7667,0.112,0.551,0.272447321,-1.300310001
1972,11,14.9833,0.158,0.536,0.101389068,-2.288790004
1973,10,17.0667,0.123,0.376,0.156140349,-1.857000003
1974,9,16.3,0.184,0.574,0.110849705,-2.199580004
1975,8,16.95,0.171,0.572,0.30068863,-1.201680001
1976,7,17.65,0.247,0.418,0.253437002,-1.37264
1977,6,15.5833,0.087,0.821,0.10698892,-2.235030001
1978,5,15.8167,0.051,0.763,0.270444061,-1.307690001
1979,4,16.1667,0.122,0.717,0.214466871,-1.5396
1980,3,16,0.074,0.578,0.135902169,-1.995819998
